Arrive Crystal Symphony,2013-10-16 09:00:00,2013-10-16 10:00:00,,Ware Berth 6/7
Arrive Norwegian Gem,2013-10-17 08:00:00,2013-10-17 09:00:00,,Main Berth 8/9
Arrive Caribbean Princess,2013-10-17 07:00:00,2013-10-17 08:00:00,,88BF 4/5
Arrive Queen Mary 2,2013-10-17 09:30:00,2013-10-17 10:30:00,,Ware Berth 6/7
Arrive Norwegian Dawn,2013-10-18 07:00:00,2013-10-18 08:00:00,Boston/Bermuda,Main Berth 8/9
Arrive Emerald Princess,2013-10-18 10:00:00,2013-10-18 11:00:00,,Ware Berth 6/7
Arrive Veendam,2013-10-19 07:00:00,2013-10-19 08:00:00,Boston/Panama Canal/CA,Main Berth 8/9
Arrive Brilliance of the Seas,2013-10-20 06:00:00,2013-10-20 07:00:00,Bos/Hal/SJ/Maine/Boston,Main Berth 8/9
Arrive Caribbean Princess,2013-10-21 10:00:00,2013-10-21 11:00:00,,Main Berth 8/9
Arrive Eurodam,2013-10-22 08:00:00,2013-10-22 09:00:00,,Main Berth 8/9
Arrive Seabourne Sojourn,2013-10-22 07:00:00,2013-10-22 08:00:00,,Ware Berth 6/7
Arrive Norwegian Dawn,2013-10-25 07:00:00,2013-10-25 08:00:00,Boston//Bermuda,Main Berth 8/9
Arrive Regatta,2013-10-27 08:00:00,2013-10-27 09:00:00,,88BF 4/5
Arrive Brilliance of the Seas,2013-10-27 06:00:00,2013-10-27 07:00:00,Bos/6Ports/Tampa REPO,Main Berth 8/9
Arrive Silver Whisper,2013-10-27 08:00:00,2013-10-27 09:00:00,,Ware Berth 6/7
Arrive Aidabella,2013-10-30 09:00:00,2013-10-30 10:00:00,,Main Berth 8/9
Arrive Crystal Symphony,2013-10-31 08:00:00,2013-10-31 09:00:00,,Main Berth 8/9
Arrive Seven Seas Navigator,2013-10-31 08:00:00,2013-10-31 09:00:00,,Ware Berth 6/7
Arrive Norwegian Dawn,2013-11-01 07:00:00,2013-11-01 08:00:00,Boston/Tampa REPO,Main Berth 8/9
Arrive Emerald Princess,2013-11-02 07:00:00,2013-11-02 08:00:00,,Main Berth 8/9
