,,2013 CRUISE SCHEDULE as of:,,2/10/2013,,,,,,,,,,,
,Day,Date,Vessel,Type,Duration,Remarks,ETA,ETD,Berth,Pass. Capacity,LOA,Agency,Cruise Line,voyage,
81,Fri,10/04/13,Seabourne Sojourn,Turn,10 Day,Debark/Embark ,7:00,17:00,Main Berth 8/9,208,439,Moran,Seabourne,,
82,Sat,10/05/13,Veendam,Turn,14 Day,Boston/Montreal/BOS,7:00,17:00,Main Berth 8/9,1258,719,Moran,Holland,,
83,Sun,10/06/13,Brilliance of the Seas,Turn,7 Day,Bos/Hal/SJ/Maine/Boston,6:00,17:00,Main Berth 8/9,2501,962.7,Intercruises,Royal Caribbean,22422,
84,Sun,10/06/13,Silver Whisper,POC,1 Day,,8:00,18:00,Ware Berth 6/7,382,610,Goff and Page,V Ships,,
85,Mon,10/07/13,Carnival Glory,POC,1 Day,,8:00,17:00,Main Berth 8/9,2974,952,Intercruises,Carnival,glo7100513,
86,Mon,10/07/13,Caribbean Princess,POC,1 Day,,10:00,19:00,Ware Berth 6/7,3100,951,Goff and Page,Princess,CB1332,
87,Thu,10/10/13,Aidabella,POC,1 Day,,9:00,19:00,Ware Berth 6/7,2050,826,Intercruises,Aida Cruises,,
88,Thu,10/10/13,Norwegian Gem,POC,1 Day,,8:00,18:00,Main Berth 8/9,2394,965,Moran,NCL,27131005,
89,Thu,10/10/13,Silver Whisper,POC,1 Day,,8:00,23:00,88BF 4/5,382,610,Goff and Page,V Ships,,
90,Fri,10/11/13,Seven Seas Navigator,POC,1 Day,,8:00,18:00,88 BF 4/5,490,560,Goff and Page,Regent Seven Seas,,
91,Fri,10/11/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14131011,
92,Fri,10/11/13,Crystal Symphony,POC,1 Day,,8:00,17:00,Ware Berth 6/7,778,940,Moran,Crystal Cruises,3225,
93,Sun,10/13/13,Brilliance of the Seas,Turn,7 Day,Bos/Hal/SJ/Maine/Boston,6:00,17:00,Main Berth 8/9,2501,963,Intercruises,Royal Caribbean,22423,
94,Mon,10/14/13,Emerald Princess,POC,1 Day,,7:00,16:00,Main Berth 8/9,3080,947,Goff and Page,Princess,EP1327,
95,Tue,10/15/13,Seven Seas Navigator,POC,1 Day,,8:00,18:00,Main Berth 8/9,490,560,Goff and Page,Regent Seven Seas,,
96,Wed,10/16/13,Aidabella,POC,1 Day,,8:00,18:00,Main Berth 8/9,2050,826,Intercruises,Aida Cruises,,
97,Wed,10/16/13,Crystal Symphony,POC,1 Day,,9:00,17:00,Ware Berth 6/7,778,940,Moran,Crystal Cruises,3226,
98,Thu,10/17/13,Norwegian Gem,POC,1 Day,,8:00,18:00,Main Berth 8/9,2394,965,Moran,NCL,27131012,
99,Thu,10/17/13,Caribbean Princess,POC,1 Day,,7:00,16:00,88BF 4/5,3100,951,Goff and Page,Princess,CB1333,
100,Thu,10/17/13,Queen Mary 2,POC,1 Day,,9:30,20:00,Ware Berth 6/7,2620,1128,Goff and Page,Cunard,M325,
101,Fri,10/18/13,Norwegian Dawn,Turn,7 Day,Boston/Bermuda,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14131018,
102,Fri,10/18/13,Emerald Princess,POC,1 Day,,10:00,19:00,Ware Berth 6/7,3080,947,Goff and Page,Princess,CB1328,
103,Sat,10/19/13,Veendam,Turn,21Day,Boston/Panama Canal/CA,7:00,16:00,Main Berth 8/9,1258,719,Moran,Holland,,
104,Sun,10/20/13,Brilliance of the Seas,Turn,7 Day,Bos/Hal/SJ/Maine/Boston,6:00,17:00,Main Berth 8/9,2501,963,Intercruises,Royal Caribbean,22424,
105,Mon,10/21/13,Caribbean Princess,POC,1 Day,,10:00,19:00,Main Berth 8/9,3100,951,Goff and Page,Princess,CB1334,
106,Tue,10/22/13,Eurodam,POC,1 Day,,8:00,16:00,Main Berth 8/9,1258,719,Moran,Holland,228,
107,Tue,10/22/13,Seabourne Sojourn,POC,1 Day,,7:00,17:00,Ware Berth 6/7,208,438,Moran,Seabourne,,
108,Fri,10/25/13,Norwegian Dawn,Turn,7 Day,Boston//Bermuda,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14131025,
109,Sun,10/27/13,Regatta,POC,1 Day,,8:00,20:00,88BF 4/5,684,594,Goff and Page,Oceania,,
110,Sun,10/27/13,Brilliance of the Seas,Turn,7 Day,Bos/6Ports/Tampa REPO,6:00,17:00,Main Berth 8/9,2501,963,Intercruises,Royal Caribbean,22425,
111,Sun,10/27/13,Silver Whisper,POC,1 Day,,8:00,18:00,Ware Berth 6/7,382,610,Goff and Page,Vships Leisure,,
112,Wed,10/30/13,Aidabella,POC,1 Day,,9:00,19:00,Main Berth 8/9,2050,826,Intercruises,Aida Cruises,,
113,Thu,10/31/13,Crystal Symphony,POC,1 Day,,8:00,17:00,Main Berth 8/9,778,940,Moran,Crystal Cruises,3227,
114,Thu,10/31/13,Seven Seas Navigator,POC,1 Day,,8:00,17:00,Ware Berth 6/7,490,560,Goff and Page,Regent Seven Seas,,
115,Fri,11/01/13,Norwegian Dawn,Turn,1 Day,Boston/Tampa REPO,7:00,16:00,Main Berth 8/9,2224,958,Moran,NCL,14131101,
116,Sat,11/02/13,Emerald Princess,POC,1 Day,,7:00,16:00,Main Berth 8/9,3080,947,Goff and Page,Princess,EP1329,
